image,repo,age_days,pull_count,size_mb,n_tags,packages,vuln_critical,vuln_high,vuln_medium,vuln_low,vuln_total,secrets,misconfig,malware
debian@sha256:920c885fbad27e436c4689f85b45d75fab548d50846fe24aa95ce15f72427097,library/debian,3017,1625572102,47.9,1,88,329,1087,1489,434,4297,2,4,3
debian@sha256:4844f1d89226e2d58a62b51700ae34786d322c652e767e2de42c322251cc8095,library/debian,2991,1625572102,48.1,1,88,301,1077,1489,422,4193,2,4,3
oraclelinux@sha256:a06327c0f1d18d753f2a60bb17864c84a850bb6dcbcf5946dd1a8123f6e75495,library/oraclelinux,1899,43704136,70.2,2,186,15,100,27,0,144,15,4,11
oraclelinux@sha256:12ac0df82f5a3f2f09ecad7854ea4444fc1b708ef411c1e2f24d6f25d4245ab4,library/oraclelinux,526,43704136,76.4,1,152,2,54,42,3,101,23,4,9
oraclelinux@sha256:645371a66c08ed18b7aacf217c964f0db70c26ac87f3d8816d7ae24160f178e4,library/oraclelinux,526,43704136,50.5,1,118,2,70,47,3,122,17,4,3
oraclelinux@sha256:a6ee3b4c6a52a529a6de77bb25c3d0a99e99e1ad81cd936cd14b100288ffe246,library/oraclelinux,2478,43704136,86.9,1,208,18,346,496,73,935,18,4,8
oraclelinux@sha256:981d594612ca72ef89a088055c7b0d6cfd1f5983e9a83737c0793be37882ccbe,library/oraclelinux,2263,43704136,85.4,1,205,18,285,393,31,729,18,4,8
oraclelinux@sha256:b180e84e384a1cc2dcfc445b55605ae019484eaa3fe7b0c29aae8eed8b5ffd95,library/oraclelinux,2074,43704136,93.4,1,205,18,275,345,24,664,68,4,9
oraclelinux@sha256:7bd67d839b5296423b49806513e985d1440c1666732bdab49d8fe4f2eaa8882e,library/oraclelinux,526,43704136,95.4,2,206,9,92,67,3,173,39,4,1
oraclelinux@sha256:3aafde0aaf2fc2348f443018ec04b722107518938c04a923b2e408394cf3e74f,library/oraclelinux,7,43704136,51.5,1,103,0,0,0,0,0,10,4,3
oraclelinux@sha256:3adbe2ccaabb12005c850c6d572ff3361548b001ca4bedc10306291853e701a2,library/oraclelinux,7,43704136,51.5,1,103,0,1,5,0,6,10,4,3
oraclelinux@sha256:35e41a7e14aefbbdcc66c4a79acdba08413c8c6dc740454772b0ade51d4bdfce,library/oraclelinux,2410,43704136,131.2,1,191,6,459,1236,140,1844,3,4,3
oraclelinux@sha256:9e8592a9bb8db3df61defb11f6c6954101b5113dab07c0d3e085d8bb16aeff63,library/oraclelinux,2270,43704136,134.3,1,188,12,447,1117,128,1710,3,4,3
oraclelinux@sha256:91e30941ea595772056d4a053d2220c7a0c33736ca7b10e22890bc7ed8272741,library/oraclelinux,2030,43704136,141.7,1,187,9,417,1034,113,1577,14,4,3
oraclelinux@sha256:71f3708ae917523db4450607cc26c2f2c7942bdd28487c9e80bcc20c4eeb60c8,library/oraclelinux,1861,43704136,81.8,1,185,9,397,941,98,1449,14,4,3
oraclelinux@sha256:ef0327c1a51e3471e9c2966b26b6245bd1f4c3f7c86d7edfb47a39adb446ceb5,library/oraclelinux,1660,43704136,90.4,1,195,9,354,811,92,1270,14,4,4
oraclelinux@sha256:3cadd263e7744a34daa274f6d95e621b1c06a15aa34d2ede3ef6798ad77bac3b,library/oraclelinux,1480,43704136,87.5,1,189,9,321,630,56,1020,14,4,3
oraclelinux@sha256:2d779a9358150f9a66edc5e266ea2c5ff0ca87961cfa90761d6c3ee01e2a861f,library/oraclelinux,1294,43704136,85.9,1,191,9,292,549,51,905,14,4,3
oraclelinux@sha256:9384443b9af48c70004e27819f434529e88c8072de46835e1e064a10559088dd,library/oraclelinux,1141,43704136,88.4,1,191,9,279,448,51,791,14,4,3
oraclelinux@sha256:2df7909b71d388a19d3ede33712258d9e55789eb131511991b6b96ac77c7cf94,library/oraclelinux,897,43704136,95.5,1,193,9,223,359,25,620,14,4,3
oraclelinux@sha256:de92e8297508da03b762120f28a9d2e29b1bab0208c8498415ef9cb7559259de,library/oraclelinux,742,43704136,100.8,1,204,9,209,281,20,523,14,4,3
archlinux@sha256:84041fa7d2356dc834e1db51a966d5227767c91f3426e49a5d0767630f504930,library/archlinux,14,31932408,130.8,1,141,1,23,17,1,42,32,5,12
archlinux@sha256:32c78c548c1a3f9db43bc25fb9f47d8bf5efff49a1da3810bb60790b4202d657,library/archlinux,10,31932408,131.5,1,141,1,23,17,1,42,32,5,12
archlinux@sha256:2de343a5b3be645972cab2c577b294d22819fa3417a5d2d88d682073f2a1ce5c,library/archlinux,2024,31932408,221.0,1,133,3,19,31,12,71,26,4,11
archlinux@sha256:b63827b5c4b05c1349e615afbf6adfd4ed1da10a2d79d60a62b162ab59a46006,library/archlinux,2019,31932408,221.0,1,133,3,19,31,12,71,27,4,11
